State,average_debt,abbrev
Alabama,30996,AL
Alaska,26356,AK
Arizona,24298,AZ
Arkansas,27319,AR
California,21125,CA
Colorado,26424,CO
Connecticut,35853,CT
Delaware,39705,DE
District of Columbia,32966,DC
Florida,24454,FL
Georgia,27759,GA
Hawaii,24926,HI
Idaho,24983,ID
Illinois,28552,IL
Indiana,28521,IN
Iowa,29560,IA
Kansas,26002,KS
Kentucky,28356,KY
Louisiana,26284,LA
Maine,32764,ME
Maryland,30461,MD
Massachusetts,33457,MA
Michigan,29863,MI
Minnesota,32012,MN
Mississippi,29714,MS
Missouri,28713,MO
Montana,27114,MT
Nebraska,26781,NE
Nevada,21357,NV
New Hampshire,39928,NH
New Jersey,35117,NJ
New Mexico,20868,NM
New York,30951,NY
North Carolina,29681,NC
North Dakota,31939,ND
Ohio,30605,OH
Oklahoma,27876,OK
Oregon,26504,OR
Pennsylvania,39375,PA
Rhode Island,36791,RI
South Carolina,32635,SC
South Dakota,32029,SD
Tennessee,26852,TN
Texas,26273,TX
Utah,18344,UT
Vermont,34866,VT
Virginia,29616,VA
Washington,23993,WA
West Virginia,29208,WV
Wisconsin,30270,WI
Wyoming,23510,WY